featuretype,country,region,featurecode,featurename,pressures_info,pressures_source,use_for_statistics
species,CZ,PAN,2522,Pelecus cultratus,,,No
species,DE,ALP,1375,Capra ibex,,,Yes
species,DE,ALP,1400,Leucobryum glaucum,,,Yes
species,DE,ALP,1903,Liparis loeselii,,,Yes
species,DE,ATL,1106,Salmo salar,,,Yes
species,DE,ATL,1197,Pelobates fuscus,,,Yes
species,DE,ATL,1321,Myotis emarginatus,,,Yes
species,DE,ATL,1322,Myotis nattereri,,,Yes
species,DE,ATL,1357,Martes martes,,,Yes
species,DE,ATL,1363,Felis silvestris,,,Yes
species,DE,ATL,1614,Apium repens,,,Yes
species,DE,ATL,6182,Sympecma paedisca,,,Yes
species,DE,CON,1029,Margaritifera margaritifera,,,Yes
species,DE,CON,1056,Parnassius mnemosyne,,,Yes
species,DE,CON,1060,Lycaena dispar,,,Yes
species,DE,CON,1076,Proserpinus proserpina,,,Yes
species,DE,CON,1292,Natrix tessellata,,,Yes
species,DE,CON,1327,Eptesicus serotinus,,,Yes
species,DE,CON,1396,Notothylas orbicularis,,,Yes
species,DE,CON,1832,Caldesia parnassifolia,,,Yes
species,DE,CON,4038,Lycaena helle,,,Yes
species,DE,CON,4066,Asplenium adulterinum,,,Yes
species,DE,CON,5345,Rutilus virgo,,,Yes
species,DE,CON,6145,Romanogobio uranoscopus,,,Yes
species,DE,MATL,2032,Lagenorhynchus albirostris,,"AW: https://odims.ospar.org/maps/530
http://www.ices.dk/marine-data/data-portals/Pages/DATRAS.aspx
https://www.geoseaportal.de/mapapps/?lang=de",No
species,DK,ATL,1013,Vertigo geyeri,,,Yes
species,DK,ATL,1413,Lycopodium spp.,,,Yes
species,DK,ATL,1833,Najas flexilis,,,Yes
species,DK,CON,1026,Helix pomatia,,,Yes
species,DK,CON,1103,Alosa fallax,,,No
species,DK,CON,1197,Pelobates fuscus,,,Yes
species,DK,CON,1614,Apium repens,,,Yes
species,DK,CON,5009,Pipistrellus pygmaeus,,,Yes
species,DK,MATL,2032,Lagenorhynchus albirostris,,"expert knowledge and 
Galatius, A., & Kinze, C. C. (2016). Lagenorhynchus albirostris (Cetacea: Delphinidae). Mammalian Species, 48(933), 35-47. https://doi.org/10.1093/mspecies/sew003",Yes
species,EE,BOR,1048,Aeshna viridis,,,Yes
species,EE,BOR,1309,Pipistrellus pipistrellus,,"Multi-species action plan for Chiroptera (https://www.envir.ee/sites/default/files/nahkhiired_ktk_kinnitamiseks_25.01.17_mr_lk_me.pdf) list of threats (p 24). 
F02 - reconstruction, renovation, demolition of hibernation sites (7.1.1);
F07 - disturbance in hibernation sites (7.1.2);
F09 - scrapping, landfill of hibernation sites (7.1.3);
F02 - reconstruction, renovation, demolition of roosting sites (7.2.1);
B15 - forest management (7.2.2);
D01, E01 - mortality in wind parks and traffic (7.3);
A14,A21 - poisons (7.4);
E08 - light pollution (7.5);
L06 - predation (7.6.1);
L06 - diseases (7.6.2);
L01 - abiotic factors (7.6.3).",Yes
species,EE,BOR,1341,Muscardinus avellanarius,,The species is at northern edge of distribution range in Estonia.,Yes
species,EE,BOR,1413,Lycopodium spp.,,,Yes
species,ES,ALP,1056,Parnassius mnemosyne,,,Yes
species,ES,ALP,1309,Pipistrellus pipistrellus,,,Yes
species,ES,ALP,1314,Myotis daubentonii,,,Yes
species,ES,ALP,1355,Lutra lutra,,"Ruiz-Olmo, J. (2017). Nutria – Lutra lutra. En: Enciclopedia Virtual de los Vertebrados Españoles. Salvador, A., Barja, I. (Eds.). Museo Nacional de Ciencias Naturales, Madrid. (http://www.vertebradosibericos.org) [Acceso 03/04/19]",Yes
species,ES,ALP,1386,Buxbaumia viridis,,,Yes
species,ES,ALP,1866,Galanthus nivalis,,,Yes
species,ES,ALP,5262,Barbus haasi,"La introducción de especies exóticas en su área de ocupación como son son el pez sol (Lepomis gibbosus) , el pez gato (Ameiurus melas), perca americana  (Micropterus salmoides), lucio (Esox lucius), lucioperca (Stizostedion lucioperca) y diversas especies de ciprínidos es una de las principales causas del declive de esta especie.","Doadrio, I. (Ed.) (2001). Atlas y Libro Rojo de los Peces Continentales de España. Dirección General de Conservación de la Naturaleza-Museo Nacional de Ciencias Naturales, Madrid. (https://www.miteco.gob.es/es/biodiversidad/temas/inventarios-nacionales/inventario-especies-terrestres/inventario-nacional-de-biodiversidad/ieet_peces_atlas.asp)",Yes
species,ES,ALP,5813,Rana pyrenaica,"IAS union concern :  Pacifastacus leniusculus Dana, 1852; Procambarus clarkii Girard, 1852;
","Miller D, Gray M, Storfer A. (2011). Ecopathology of ranaviruses infecting amphibians. Viruses; 3(11):2351-73.

Palomar G., Bosch J., Cano, J.M. (2016). Heritability of Batrachochytrium dendrobatidis burden and its genetic correlation with development time in a population of Common toad (Bufo spinosus). Evolution 70 (10): 2346-2356.

Peso,-Fernández, M. (2018). Conservation planning of the Endangered Pyrenean frog by integrating natural history, landscape and population genomics under Global change Scenarios. Tesis doctoral. Universitat de barcelona.

Https://mantle.io/grrs 

http://www.bd-maps.net/surveillance",Yes
