featuretype,country,region,featurecode,featurename,pressures_info,pressures_source,use_for_statistics
species,ES,ATL,6199,Euplagia quadripunctaria,,,Yes
species,ES,MAC,1510,Crambe laevigata,,,Yes
species,ES,MAC,1737,Globularia ascanii,,,Yes
species,ES,MAC,2016,Pipistrellus kuhlii,,,Yes
species,ES,MATL,1008,Centrostephanus longispinus,,,Yes
species,ES,MATL,1223,Dermochelys coriacea,,,Yes
species,ES,MATL,1225,Eretmochelys imbricata,,,No
species,ES,MATL,2619,Balaenoptera borealis,,Criterio experto,No
species,ES,MATL,2627,Globicephala macrorhynchus,,Criterio experto,No
species,ES,MED,1050,Saga pedo,,,Yes
species,ES,MED,1057,Parnassius apollo,,,Yes
species,ES,MED,1076,Proserpinus proserpina,,,Yes
species,ES,MED,1133,Anaecypris hispanica,"IAS union concern :  Pacifastacus leniusculus Dana, 1852; Procambarus clarkii Girard, 1852; Trachemys scripta Schoepff, 1792;
Other IAS: perca americana (Micropterus almoides), pez sol (Lepomis gibbosus), pez gato (Ameiurus melas), alburno (Alburnus alburnus).","Parece existir una correlación negativa y significativa entre la presencia de jarabugo y la abundancia de especies exóticas, de manera que en aquellas zonas con mayor proliferación de especies exóticas, las densidades de jarabugo fueron menores (Crivelli, 2006; Blanco-Garrido et al., 2009; Doadrio, 2001, Doadrio et al., 2011; Antolín Martín et al., 2013; Jines-Muñoz, 2017).",Yes
species,ES,MED,1409,Sphagnum spp.,,Opinión experta.,Yes
species,ES,MED,1470,Arenaria nevadensis,,,Yes
species,ES,MED,1552,Vicia bifoliolata,"Las presiones y amenazas para esta especie son de importancia baja (L): Incendios y extinción de incendios, recolección y eliminación de plantas terrestres en general, tormentas y ciclones, incendios naturales y competición.",Opinión experta.,Yes
species,ES,MED,1600,Naufraga balearica,,,Yes
species,ES,MED,1635,Armeria velutina,,,Yes
species,ES,MED,1668,Lithodora nitida,,,Yes
species,ES,MED,1733,Veronica micrantha,,,Yes
species,ES,MED,6091,Zamenis longissimus,,,Yes
species,ES,MMED,1028,Pinna nobilis,,,Yes
species,FI,ALP,1013,Vertigo geyeri,,,Yes
species,FI,ALP,1361,Lynx lynx,,Mortality and Hunting statistics from Finnish Wildlife Agency,Yes
species,FI,ALP,1528,Saxifraga hirculus,,,Yes
species,FI,BOR,1013,Vertigo geyeri,,,Yes
species,FI,BOR,1213,Rana temporaria,,,Yes
species,FI,BOR,1318,Myotis dasycneme,,,No
species,FI,BOR,1389,Meesia longiseta,,,Yes
species,FI,BOR,1919,Agathidium pulchellum,,,Yes
species,FI,BOR,1941,Arctagrostis latifolia,,,Yes
species,FI,BOR,6306,Pusa hispida saimensis,,"Metsähallitus Parks and Wildlife Finland Saimaa seal databases (Dated 31.12.
2018)
- Saimaa seal mortality database; age, cause of death, locations etc yrs 1980-
2018
- Saimaa seal lairing database, lair location and category (haul-out or birth lair),
and number of pups born, esitimated population size and estimated number of
preroductive females etc. Years 1987-2018.

Jounela, P., Sipilä, T., Koskela, J., Tiilikainen, R., Auttila, M., Niemi, M., & Kunnasranta, M. 2019: Incidental bycatch mortality and fishing restrictions: impacts on juvenile survival in the Endangered Saimaa ringed seal Pusa hispida saimensis. - Endangered Species Res. Vol.38:91-99. https://doi.org/10.3354/esr00939
https://doi.org/10.3354/esr00856

Liukkonen, L., Rautio, A., Sipilä, T., Niemi, M., Auttila, M., Koskela, J. & Kunnasranta, M. 2017: Long-term effects of land use on perinatal mortality in the Endangered Saimaa ringed seal population. - Endangered Species Res. Vol. 34:283-291.
https://doi.org/10.3354/esr00856

Anon 2017. Saimaannorpan suojelun strategia ja toimenpidesuunnitelma. – Ympäristöministeriö 30.05.2017, Helsinki 16 pp.
https://www.ymparisto.fi/fi-FI/Luonto/Saimaannorpan_suojelustrategia_paivitett(44894)

Liukko, U-M., Henttonen, H., Hanski, I. K., Kauhala, K., Kojola, I., Kyheröinen, E-M. & Pitkänen,
J. 2016: Suomen nisäkkäiden uhanalaisuus 2015 – The 2015 Red List of Finnish Mammal Species.
Ympäristöministeriö & Suomen ympäristökeskus. 34 p
https://helda.helsinki.fi/bitstream/handle/10138/159434/Suomen_nisakkaiden_uhanalaisuus_2015.pdf

 Sipilä, T. 2016. Pusa hispida ssp. saimensis. The IUCN Red List of Threatened Species 2016:
e.T41675A66991678.
 http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T41675A66991678.en

Valtonen, M., Palo, J.U., Aspi, J., Ruokonen, M., Kunnasranta, M. and Nyman, T. 2014. Causes andconsequences of fine-scale population structure in a critically endangered freshwater seal. BMC Ecology 2014 14: 22.

Niemi, M., Auttila, M., Viljanen, M.& Kunnasranta, M. 2012 :Movement data and their application for assessing the current distribution and conservation needs of the endangered Saimaa ringed seal. – Endangered Species Research 19:99-108. http://www.int-res.com/articles/esr_oa/n019p099.pdf

Sipilä, T. 2003. Conservation biology of Saimaa ringed seal (Phoca hispida
saimensis) with reference to other European seal populations. - PhD dissertation,
University of Helsinki, Helsinki
https://helda.helsinki.fi/handle/10138/22401

Sipilä, T. & Koskela, J. 2003. Pristine population size of Saimaa ringed seal. - Abstract. 15th Biennial Conference on the Biology of Marine mammals. Dec. 14 – Dec. 19 2003. Greensboro, NC, USA: p. 151.",Yes
species,FI,MBAL,2492,Coregonus albula,,,Yes
species,FR,ALP,1106,Salmo salar,,,Yes
species,FR,ALP,1303,Rhinolophus hipposideros,,,Yes
species,FR,ALP,1358,Mustela putorius,,,Yes
species,FR,ALP,1363,Felis silvestris,,,Yes
species,FR,ALP,1409,Sphagnum spp.,,,Yes
species,FR,ALP,1527,Saxifraga florulenta,,,Yes
species,FR,ALP,5318,Cottus aturi,,"Doadrio I., Perea S., Garzon-Heudt P., Gonzalez J.L. 2011. Ictiofauna continental española - bases para su seguimiento.. Gobioerno de España, Ministerio de Medio Ambiente y Meio Rural y Marino, 610 p. ; Sousa-Santos C., Robalo J.I., Pereira A & Doadrio I. 2014. Threatened fishes if the world: Cottus aturi Freyhof, Kottelat and Nolte, 2005 (COttidae). Croatian Journal of Fisheries, 72130-131 ",Yes
species,FR,ALP,6965,Cottus gobio all others,,"Utzinger J., Roth C., Peter A. 1998. Effects of environmental parameters on the distribution of bullhead Cottus gobio with particular consideration of the effects of obstructions. Journal of Applied Ecology, 35882-892 ; Keith P.,H. Persat,E., Feunteun, J. Allardi 2011. Les poissons d'eau douce de France. Les poissons d'eau douce de France, 552 ; Espa P., Crosa G., Gentili G., Quadroni S., Petts G. 2015. Downstream ecological impacts of controlled sediment flushing in an alpine valley river: a case study. River Research and Applications, 31931-942 ; Fischer S. & Kummer H. 2000. Effects of residual flow and habitat fragmentation on distribution and movement of bullhead (Cottus gobio L.) in an alpine stream. Hydrobiologia, 422/423305-317 ; Junker J., Peter A., Wagner C.E., Mwaiko S., Germann B., Seehausen O., Keller I. 2012. River fragmentation increases localized population genetic structure and enhances asymmetry of dispersal in bullhead (Cottus gobio). Conservation Genetics, 13545-556 ",Yes
species,FR,ALP,6989,Aquilegia reuteri,,,Yes
species,FR,ATL,1058,Maculinea arion,,,Yes
species,FR,ATL,1076,Proserpinus proserpina,,,Yes
species,FR,ATL,1145,Misgurnus fossilis,,"STORCK F., MOUGENEZ S. 2004. La loche d'étang (Misgurnus fossilis), synthèse bibliographique et répartiotion nationale. 21 p. ",Yes
species,FR,ATL,1413,Lycopodium spp.,,,Yes
species,FR,ATL,5318,Cottus aturi,,"Sousa-Santos C., Robalo J.I., Pereira A & Doadrio I. 2014. Threatened fishes if the world: Cottus aturi Freyhof, Kottelat and Nolte, 2005 (COttidae). Croatian Journal of Fisheries, 72130-131 ; Doadrio I., Perea S., Garzon-Heudt P., Gonzalez J.L. 2011. Ictiofauna continental española - bases para su seguimiento.. Gobioerno de España, Ministerio de Medio Ambiente y Meio Rural y Marino, 610 p. ",Yes
species,FR,CON,1032,Unio crassus,,,Yes
species,FR,CON,1096,Lampetra planeri,,,Yes
species,FR,CON,1193,Bombina variegata,,"Cayuela H., Besnard A., Quay L;, Helder R., Léna J.P., Jolt P., Pichenot J. 2018. Demographic response to patch destruction in spatially structured amphibian population. Journal of Applied Ecology, 31 ",Yes
species,FR,CON,1256,Podarcis muralis,,,Yes
species,FR,CON,1493,Sisymbrium supinum,,,Yes
species,FR,CON,1831,Luronium natans,,,Yes
species,FR,CON,5339,Rhodeus amarus,,,Yes
species,FR,CON,6938,Pelophylax ridibundus,,,Yes
species,FR,MED,1016,Vertigo moulinsiana,,,Yes
species,FR,MED,1204,Hyla sarda,,,Yes
species,FR,MED,1217,Testudo hermanni,, . Management guide of populations and habitats of the Hermann's tortoise.  ;  . Plan National d’Actions Tortue d’Hermann  2018-2026.  ,Yes
species,FR,MED,1304,Rhinolophus ferrumequinum,,,Yes
species,FR,MED,1305,Rhinolophus euryale,,,Yes
species,FR,MED,1323,Myotis bechsteinii,,,Yes
species,FR,MED,1358,Mustela putorius,,,Yes
species,FR,MED,1375,Capra ibex,,,No
species,FR,MED,1643,Limonium strictissimum,,,Yes
species,FR,MED,1836,Colchicum corsicum,,,Yes
species,FR,MED,6211,Speleomantes strinatii,,,Yes
species,FR,MED,6284,Epidalea calamita,,,Yes
species,FR,MED,6989,Aquilegia reuteri,,,Yes
species,AT,ALP,1026,Helix pomatia,Reducing and fragmentation of forest edges by intensification of agriculture,,Yes
species,AT,ALP,1050,Saga pedo,,,Yes
species,AT,ALP,1074,Eriogaster catax,,,Yes
species,AT,ALP,1079,Limoniscus violaceus,,,Yes
species,AT,ALP,1159,Zingel zingel,,,Yes
species,AT,ALP,1214,Rana arvalis,,,Yes
species,AT,ALP,1324,Myotis myotis,,Expert opinion,Yes
species,AT,ALP,1386,Buxbaumia viridis,,,Yes
species,AT,ALP,5003,Myotis alcathoe,,Expert opinion,No
species,AT,ALP,5012,Plecotus macrobullaris,,Expert opinion,Yes
species,AT,ALP,6143,Romanogobio kesslerii,,,Yes
species,AT,CON,1042,Leucorrhinia pectoralis,,,Yes
species,AT,CON,1087,Rosalia alpina,,,Yes
species,AT,CON,1130,Aspius aspius,,,Yes
species,AT,CON,1310,Miniopterus schreibersii,,Xo The population in Klöch (Styria) is part of the Slovenian meta population and hibernates in Slovenia.,Yes
species,AT,CON,1312,Nyctalus noctula,,Expert opinion,Yes
species,AT,CON,1331,Nyctalus leisleri,,Expert opinion,Yes
species,AT,CON,1339,Cricetus cricetus,"Agriculture activities not referred in Pressures list: 
Increasing of agricultural parcels, deep ploughing, early harvisting of crops
Problematic ""native"" species: dogs and cats are hunting the species",,Yes
species,AT,CON,1428,Marsilea quadrifolia,,,Yes
species,AT,CON,1916,Artemisia laciniata,,,Yes
species,AT,CON,4004,Microtus oeconomus mehelyi,,,Yes
species,AT,CON,4056,Anisus vorticulus,,,Yes
species,AT,CON,4098,Iris humilis subsp. arenaria,,,Yes
species,AT,CON,5003,Myotis alcathoe,,Expert opinion,Yes
species,AT,CON,5365,Hypsugo savii,,Expert opinion,Yes
species,AT,CON,6145,Romanogobio uranoscopus,,,Yes
species,BE,ATL,1203,Hyla arborea,,,Yes
species,BE,ATL,6963,Cobitis taenia Complex,,,Yes
species,BE,CON,1145,Misgurnus fossilis,,,Yes
species,BE,CON,1332,Vespertilio murinus,,,No
species,BE,CON,1352,Canis lupus,,,No
species,BE,CON,6284,Epidalea calamita,,,Yes
species,BE,MATL,1364,Halichoerus grypus,,,Yes
species,BG,ALP,1217,Testudo hermanni,,,Yes
species,BG,ALP,1326,Plecotus auritus,,,Yes
species,BG,ALP,1328,Nyctalus lasiopterus,,,Yes
species,BG,ALP,1332,Vespertilio murinus,,,Yes
species,BG,ALP,1335,Spermophilus citellus,,,Yes
species,BG,ALP,1352,Canis lupus,,,Yes
species,BG,ALP,1657,Gentiana lutea,,,Yes
species,BG,ALP,5339,Rhodeus amarus,,,Yes
species,BG,ALP,6138,Dolichophis caspius,,,Yes
species,BG,ALP,6216,Hamatocaulis vernicosus,,,Yes
species,BG,ALP,6997,Bufotes viridis,,,Yes
species,BG,BLS,1053,Zerynthia polyxena,,,Yes
species,BG,BLS,1303,Rhinolophus hipposideros,,,Yes
species,BG,BLS,1312,Nyctalus noctula,,,Yes
species,BG,BLS,1400,Leucobryum glaucum,,,Yes
species,BG,BLS,4011,Bolbelasmus unicornis,,,Yes
species,BG,BLS,6908,Morimus asper funereus,,,Yes
species,BG,CON,1053,Zerynthia polyxena,,,Yes
species,BG,CON,1057,Parnassius apollo,,,Yes
species,BG,CON,1213,Rana temporaria,,,Yes
species,BG,CON,1304,Rhinolophus ferrumequinum,,,Yes
species,BG,CON,1339,Cricetus cricetus,,,Yes
species,BG,CON,1400,Leucobryum glaucum,,,Yes
species,BG,CON,1914,Carabus menetriesi pacholei,,,Yes
species,BG,CON,4037,Lignyoptera fumidaria,,,Yes
species,BG,CON,4046,Cordulegaster heros,,,Yes
species,BG,CON,6908,Morimus asper funereus,,,Yes
species,BG,CON,6954,Pelophylax kurtmuelleri,,,Yes
species,BG,MBLS,1350,Delphinus delphis,,,Yes
species,BG,MBLS,2489,Huso huso,,,Yes
species,CY,MED,1289,Telescopus fallax,,,Yes
species,CY,MED,1310,Miniopterus schreibersii,,,Yes
species,CY,MED,2213,Sideritis cypria,,,No
species,CY,MED,2298,Tulipa cypria,,,Yes
species,CY,MED,4023,Propomacrus cypriacus,,,Yes
species,CY,MED,6997,Bufotes viridis,"Due to lack of a more suitable code in the Pressure/Threat code list on the Reference Portal, code J01 was used to also describe the insect (mainly mosquito) control practices (sprayings) carried out near torrents, streams and other water bodies.",,Yes
species,CY,MED,7009,Ophrys kotschyi subsp. kotschyi,,,Yes
species,CZ,CON,1038,Leucorrhinia albifrons,,,Yes
species,CZ,CON,1065,Euphydryas aurinia,,,Yes
species,CZ,CON,1079,Limoniscus violaceus,,,Yes
species,CZ,CON,1324,Myotis myotis,,,Yes
species,CZ,CON,1326,Plecotus auritus,,,Yes
species,CZ,CON,1328,Nyctalus lasiopterus,,,Yes
species,CZ,CON,4066,Asplenium adulterinum,,,Yes
species,CZ,CON,6169,Euphydryas maturna,,,Yes
species,CZ,CON,6216,Hamatocaulis vernicosus,,,Yes
species,CZ,CON,6985,Vandenboschia speciosa,,,Yes
species,CZ,CON,6997,Bufotes viridis,,,Yes
species,CZ,PAN,1292,Natrix tessellata,,,Yes
species,CZ,PAN,1317,Pipistrellus nathusii,,,Yes
species,CZ,PAN,1725,Lindernia procumbens,,,Yes
species,CZ,PAN,2633,Mustela eversmanii,,,Yes
species,CZ,PAN,4046,Cordulegaster heros,,,Yes
species,DE,ALP,1056,Parnassius mnemosyne,,,Yes
species,DE,ALP,1059,Maculinea teleius,,,Yes
species,DE,ALP,1314,Myotis daubentonii,,,Yes
species,DE,ALP,1324,Myotis myotis,,,Yes
species,DE,ALP,1327,Eptesicus serotinus,,,Yes
species,DE,ALP,1379,Mannia triandra,,,Yes
species,DE,ALP,5009,Pipistrellus pygmaeus,,,Yes
species,DE,ALP,6182,Sympecma paedisca,,,No
species,DE,ALP,6981,Pelophylax lessonae,,,Yes
species,DE,ATL,1016,Vertigo moulinsiana,,,Yes
species,DE,ATL,1026,Helix pomatia,,,Yes
species,DE,ATL,1083,Lucanus cervus,,,Yes
species,DE,ATL,1088,Cerambyx cerdo,,,Yes
species,DE,ATL,1320,Myotis brandtii,,,Yes
species,DE,ATL,1323,Myotis bechsteinii,,,Yes
species,DE,ATL,1437,Thesium ebracteatum,,,Yes
species,DE,ATL,5328,Romanogobio belingi,,,Yes
species,DE,ATL,5339,Rhodeus amarus,,,Yes
species,DE,ATL,6965,Cottus gobio all others,,,Yes
species,DE,CON,1042,Leucorrhinia pectoralis,,,Yes
species,DE,CON,1087,Rosalia alpina,,,Yes
species,DE,CON,1092,Austropotamobius pallipes,,,Yes
species,DE,CON,1188,Bombina bombina,,,Yes
species,DE,CON,1197,Pelobates fuscus,,,Yes
species,DE,CON,1220,Emys orbicularis,,,Yes
species,DE,CON,1321,Myotis emarginatus,,,Yes
species,DE,CON,1322,Myotis nattereri,,,Yes
species,DE,CON,1428,Marsilea quadrifolia,,,Yes
species,DE,CON,1516,Aldrovanda vesiculosa,,,Yes
species,DE,CON,1614,Apium repens,,,Yes
species,DE,CON,1887,Coleanthus subtilis,,,Yes
species,DE,CON,4056,Anisus vorticulus,,,Yes
species,DE,CON,6182,Sympecma paedisca,,,Yes
species,DE,CON,6353,Coregonus lavaretus Complex,,,Yes
species,DE,MBAL,1365,Phoca vitulina,,,Yes
species,DK,ATL,1109,Thymallus thymallus,,,Yes
species,DK,ATL,1327,Eptesicus serotinus,,,Yes
species,DK,CON,1318,Myotis dasycneme,,,Yes
species,DK,CON,6938,Pelophylax ridibundus,,,Yes
species,DK,MBAL,1351,Phocoena phocoena,Threats have not been filled out.,Reports and published literature,Yes
species,EE,BOR,1042,Leucorrhinia pectoralis,,,Yes
species,EE,BOR,1197,Pelobates fuscus,,,Yes
species,EE,BOR,1313,Eptesicus nilssonii,,"Multi-species action plan for Chiroptera (https://www.envir.ee/sites/default/files/nahkhiired_ktk_kinnitamiseks_25.01.17_mr_lk_me.pdf) list of threats (p 24). 
F02 - reconstruction, renovation, demolition of hibernation sites (7.1.1);
F07 - disturbance in hibernation sites (7.1.2);
F09 - scrapping, landfill of hibernation sites (7.1.3);
F02 - reconstruction, renovation, demolition of roosting sites (7.2.1);
B15 - forest management (7.2.2);
D01, E01 - mortality in wind parks and traffic (7.3);
A14,A21 - poisons (7.4);
E08 - light pollution (7.5);
L06 - predation (7.6.1);
L06 - diseases (7.6.2);
L01 - abiotic factors (7.6.3).",Yes
species,EE,BOR,1354,Ursus arctos,,,Yes
species,EE,BOR,6182,Sympecma paedisca,,,Yes
species,ES,ALP,1058,Maculinea arion,,,Yes
species,ES,ALP,1307,Myotis blythii,,"Consultora de recursos naturales S.L. (2009). Revisión del estado de conservación de la comunidad de mamíferos del entorno de Salburua (municipio de vitoria-gasteiz). Informe. (https://www.vitoria-gasteiz.org/docs/wb021/contenidosEstaticos/adjuntos/es/71/41/37141.pdf) [Acceso 03/04/19]

Nogueras, J. & Garrido, J.A. (2005). Myotis blythii (Tomes, 1857). Murciélago ratonero mediano. En Atlas de los Mamíferos Terrestres de España, pp: 146-149. Palomo, L. J. & Gisbert, J. (Eds). Ministerio de Medio Ambiente (DGB-MIMAM). Gobierno de España. (https://www.miteco.gob.es/ca/biodiversidad/temas/inventarios-nacionales/ieet_mami_myotis_blythii_tcm34-99842.pdf) [Acceso 03/04/19]",Yes
species,ES,ALP,1308,Barbastella barbastellus,,"Gonzalez, F. (2005). Barbastella barbastellus (Schreber, 1774). Pp 241-245. En: L. J. Palomo, J. Gisbert y J. C. Blanco (eds.). Atlas y Libro Rojo de los mamíferos terrestres de España. Dirección General para la Biodiversidad –SECEM-SECEMU, Madrid. (https://www.miteco.gob.es/es/biodiversidad/temas/inventarios-nacionales/ieet_mami_barbastella_barbastellus_tcm30-99787.pdf) [Acceso 22/04/19]

Guixé, D. & Camprodon, J. (2018). Manual de conservación y seguimiento de los quirópteros forestales. Ministerio de Agricultura, Pesca y Alimentación, Ministerio para la transición ecológica. Madrid.",Yes
species,ES,ALP,1330,Myotis mystacinus,,,Yes
species,ES,ALP,1358,Mustela putorius,,"I02: visón americano (Neovison vison)
Barrientos, R. (2015). Adult sex-ratio distortion in the native European polecat is related to the expansion of the invasive American mink. Biological Conservation, 186: 28-34.

Barrientos, R. (2016). El turón. Pp. 131-137. En: Lozano, J., Lacasa, M. (Eds.). El libro de los carnívoros. Photodigiscoping, Barcelona. 323 pp.

Barrientos, R., Bolonio, L. (2009). The presence of rabbits adjacent to roads increases polecat road mortality. Biodiversity and Conservation, 18 (2): 405-418.

Barrientos, R., Miranda, J. D. (2012). Can we explain regional abundance and road-kill patterns with variables derived from local-scale road-kill models? Evaluating transferability with the European polecat. Diversity and Distributions, 18 (7): 635-647",Yes
species,ES,ALP,1902,Cypripedium calceolus,,,Yes
species,ES,ALP,6951,Narcissus assoanus,,,Yes
species,ES,ATL,1095,Petromyzon marinus,,"Las principales presiones y amenazas son los obstáculos transversales que interrumpen la conectividad fluvial y la migración anádroma de las lampreas río arriba, la contaminación causada por la industria, las aguas residuales urbanas y la agricultura, el dragado de los fondos para la obtención de gravas y arenas y la explotación comercial (https://www.int-res.com/articles/esr_oa/n016p183.pdf).",Yes
species,ES,ATL,1103,Alosa fallax,"Other IAS: especies exóticas invasoras como la perca americana (Micropterus almoides) el pez gato (Ameiurus melas), el alburno (Alburnus alburnus) o la carpa (Cyprinus carpio) han deteriorado la calidad del hábitat de las especies fluviales migradoras, considerándose una amenaza a largo plazo en los ríos atlánticos del norte de España.",,Yes
species,ES,ATL,1209,Rana dalmatina,"IAS union concern :  Pacifastacus leniusculus Dana, 1852; Procambarus clarkii Girard, 1852;
","Bosch, J., Carrascal, L. M., Duran, L., Walker, S., & Fisher, M. C. (2006). Climate change and outbreaks of amphibian chytridiomycosis in a montane area of Central Spain; is there a link?. Proceedings of the Royal Society B: Biological Sciences, 274(1607), 253-260.

Bosch, J., & Martínez-Solano, I. (2006). Chytrid fungus infection related to unusual mortalities of Salamandra salamandra and Bufo bufo in the Penalara Natural Park, Spain. Oryx, 40(1), 84-89.

Bosch, J., Mart??nez-Solano, I., & Garc??a-Par??s, M. (2001). Evidence of a chytrid fungus infection involved in the decline of the common midwife toad (Alytes obstetricans) in protected areas of central Spain. Biological conservation, 97(3), 331-337.

Garner, T. W. J., Walker, S., Bosch, J., Hyatt, A. D., Cunningham, A. A., & Fisher, M. C. (2005). Widespread European distribution of a global amphibian pathogen. Emerg. Infect. Dis, 11, 1639-1641.

Martínez-Solano, I., Barbadillo, L.J, Lapeña, M. (2003). Effect of introduced fish on amphibian species richness and densities at a montane assemblage in the Sierra de Neila, Spain. Herpetological Journal, 13: 176-173.

Miller D, Gray M, Storfer A. (2011). Ecopathology of ranaviruses infecting amphibians. Viruses; 3(11):2351-73.

Palomar G., Bosch J., Cano, J.M. (2016). Heritability of Batrachochytrium dendrobatidis burden and its genetic correlation with development time in a population of Common toad (Bufo spinosus). Evolution 70 (10): 2346-2356.

Polo-Cavia, N., Gómez-Mestre, I. (2014). Learned recognition of introduced predators determines survival of tadpole prey. Functional Ecology, 28 (2): 432-439.

Pounds JA, Bustamante MR, Coloma LA, Consuegra JA, Fogden MP, Foster PN, La Marca E, Masters KL, Merino-Viteri A, Puschendorf R, Ron SR, Sánchez-Azofeifa GA, Still CJ, Young BE. (2006). Widespread amphibian extinctions from epidemic disease driven by global warming. Nature 439:161-16.

https://mantle.io/grrs 

http://www.bd-maps.net/surveillance",Yes
species,ES,ATL,1425,Dryopteris corleyi,,,Yes
species,ES,ATL,5179,Lacerta bilineata,,,Yes
species,ES,ATL,5365,Hypsugo savii,"Según Alcalde & Sáez (2004) casi el 62,5% de los quirópteros hallados muertos por colisión contra las aspas de aerogeneradores son murciélagos montañeros.","Alcalde, J. T. & Sáez, J. (2004). First data on bat mortality in wind farms of Navarre (Northern Iberian Peninsula). Le Rhinolophe, 17: 1-5.",Yes
species,ES,MAC,1308,Barbastella barbastellus,,"Guixé, D. & Camprodon, J. (2018). Manual de conservación y seguimiento de los quirópteros forestales. Ministerio de Agricultura, Pesca y Alimentación, Ministerio para la transición ecológica. Madrid.

Trujillo, D. & Barone, R. (2006). Bbarbastella barbastellus (Schreber, 1774). En: III. La fauna de quirópteros del archipiélago canario. (https://www.miteco.gob.es/es/biodiversidad/temas/conservacion-de-especies-amenazadas/090471228015efe4_tcm30-195672.pdf) [Acceso 22/04/19]",Yes
species,ES,MAC,1535,Bencomia brachystachya,"Díaz-Bertrana (2016) y Mesa Coello (2013) afirman que en los riscos existen rezumaderos y nacientes de agua que se siguen aprovechando, por lo que cada cierto tiempo se acondicionan senderos hasta la zona de 'Caideros Altos', desbrozando las especies del entorno; se observan varios ejemplares de Bencomia brachystachya cortados por su base. Por otra parte, puede que la causa de la ausencia de regeneración sea la competencia que ejerce la vegetación acompañante con un denso matorral.",,Yes
species,ES,MAC,1561,Dorycnium spectabile,"La presión y amenaza indicada como (L06), incluye varias presiones a las que se ve sometida la especie; destrucción de juveniles y plántulas por conejos, destrucción de semillas por larvas de coleópteros (Bruchidius lichenicola) y también la competencia vegetal natural, que impide la floración normal de los ejemplares en los que se cierra el dosel del manto (TRAGSATEC, 2015).
Delgado Rodríguez & Mesa Coello (2006) mencionan el arranque o corte de ejemplares en las labores de limpieza del canal en Barranco del Agua.
TRAGSATEC (2015) indica que como hecho puntual, la subpoblación de la localidad 'Barranco del agua' se vio afectada por la erosión ocasionada por las lluvias torrenciales de 2005, que destruyó una decena de plantas.",,Yes
species,ES,MAC,1659,Caralluma burchardii,"Other IAS: el conejo (Oryctolagus cuniculus) ejerce presión por hervivoría sobre esta especie, no es una especie autóctona.",,Yes
species,ES,MAC,1818,Stemmacantha cynaroides,Rodríguez & Mesa (2006) concluyen que el principal factor de amenaza que pesa sobre la especie es la depredación por herbívoros alóctonos (conejos y muflones).,,Yes
species,ES,MAC,5014,Plecotus teneriffae,,,Yes
species,ES,MAC,6295,Ceropegia dichotoma subsp. krainzii,,,Yes
species,ES,MATL,1226,Lepidochelys kempii,,,No
species,ES,MATL,1365,Phoca vitulina,,,No
species,ES,MATL,1376,Lithothamnium coralloides,,,Yes
species,ES,MATL,2028,Pseudorca crassidens,,,No
species,ES,MATL,5034,Mesoplodon europaeus,,,No
species,ES,MED,1007,Elona quimperiana,,"Gortázar, J & Herranz, O. (2018). Seguimiento de la situación poblacional de Geomalacus maculosus y Elona quimperiana en Castilla y León. Informe inédito. Consejería de Fomento y Medio Ambiente-Junta de Castilla y León.

Gómez, B. J. y Madeira, M. J. 2012. Elona quimperiana. En: VV.AA., Bases ecológicas preliminares para la conservación de las especies de interés comunitario en España: Invertebrados. Ministerio de Agricultura, Alimentación y Medio Ambiente. Madrid. 76 pp.",Yes
species,ES,MED,1043,Lindenia tetraphylla,,,Yes
species,ES,MED,1189,Discoglossus pictus,"IAS union concern :  Lithobates (Rana) catesbeianus Shaw, 1802; Pacifastacus leniusculus Dana, 1852; Procambarus clarkii Girard, 1852; Trachemys scripta Schoepff, 1792;
",,Yes
species,ES,MED,1304,Rhinolophus ferrumequinum,,,Yes
species,ES,MED,1324,Myotis myotis,,"Aguilar, C.M. (2017). Propuesta de plan de conservación de los murciélagos cavernícolas en La Rioja. Tragsatec. Informe 
inédito para la Dirección General de Medio Natural. Gobierno de La Rioja.

CMAOT (2018). Programa de Emergencias, Control Epidemiológico y Seguimiento de Fauna Silvestre. Informe Regional de Reproducción de Murciélagos Cavernícolas de 2016—2017 en Andalucía. Consejería de Medio Ambiente y Ordenación del Territorio. Junta de Andalucía.",Yes
species,ES,MED,1338,Microtus cabrerae,,"Garrido-García, J.A. (2018). El topillo de Cabrera (Microtus cabrerae Thomas, 1906) en Andalucía: elementos para el desarrollo de un Plan de Conservación. Tesis Doctoral. Universidad de Granada, 268 pp.

 Gisbert, J., García-Perea, R. & Garrido-García, J.A. (2013). Catálogo de amenazas del Iberón Iberomys cabrerae. Pp. 103-119. En: J. Gisbert y R. García-Perea Bases para la conservación del iberón, o Topillo de Cabrera Iberomys cabrerae, en España. Actividades 2012-2013. GALEMIA – Fundación Biodiversidad. (Vol. 1) 120 pp. Inédito.

Gisbert, J. & García-Perea, R. (2013). Situación actual del Iberón Iberomys cabrerae en el Área Prepirenaica: Comunidad de Aragón, provincias de Zaragoza y Huesca. Comunidad de Navarra. Pp. 78-81. En: J. Gisbert y R. García-Perea Bases para la conservación del iberón, o Topillo de Cabrera Iberomys cabrerae, en España. Actividades 2012-2013. GALEMIA – Fundación Biodiversidad. (Vol. 1) 120 pp. Inédito.",Yes
