country,region,speciescode,speciesname,assessment_speciescode,assessment_speciesname,presence,priority,annexII,annexIV,annexV,group
IT,MED,1431,Abies nebrodensis,1431,Abies nebrodensis,PRE,Y,Y,Y,N,Vascular plants
HR,CON,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
RO,CON,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
GR,MED,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
SK,PAN,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
BG,ALP,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
CY,MED,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
RO,STE,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
HU,PAN,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
BG,BLS,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
BG,CON,1276,Ablepharus kitaibelii,1276,Ablepharus kitaibelii,PRE,N,N,Y,N,Reptiles
PT,ATL,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
ES,ATL,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
ES,ALP,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
ES,MED,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
PT,MED,6155,Achondrostoma arcasii,6155,Achondrostoma arcasii,PRE,N,Y-CTC,N,N,Fish
PT,ATL,6156,Achondrostoma oligolepis,6156,Achondrostoma oligolepis,PRE,N,Y-CTC,N,N,Fish
PT,MED,6156,Achondrostoma oligolepis,6156,Achondrostoma oligolepis,PRE,N,Y-CTC,N,N,Fish
BG,MBLS,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
RO,CON,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
RO,STE,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
RO,BLS,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
BG,CON,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
RO,MBLS,5040,Acipenser gueldenstaedtii,5040,Acipenser gueldenstaedtii,PRE,N,N,N,Y-HTL,Fish
GR,MED,1100,Acipenser naccarii,1100,Acipenser naccarii,SCR,Y,Y,Y,N,Fish
IT,CON,1100,Acipenser naccarii,1100,Acipenser naccarii,PRE,Y,Y,Y,N,Fish
BG,CON,5041,Acipenser nudiventris,5041,Acipenser nudiventris,EXp,N,N,N,Y-HTL,Fish
BG,BLS,5041,Acipenser nudiventris,5041,Acipenser nudiventris,EXp,N,N,N,Y-HTL,Fish
RO,CON,5041,Acipenser nudiventris,5041,Acipenser nudiventris,PRE,N,N,N,Y-HTL,Fish
DE,CON,5042,Acipenser oxyrinchus,5042,Acipenser oxyrinchus,EXp,Y-CTC,Y-CTC,Y-CTC,N,Fish
RO,STE,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
BG,CON,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
AT,ALP,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
HU,PAN,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
RO,CON,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
RO,PAN,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
CZ,PAN,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
SK,PAN,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
HR,CON,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
AT,CON,2487,Acipenser ruthenus,2487,Acipenser ruthenus,PRE,N,N,N,Y-HTL,Fish
RO,BLS,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
BG,CON,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
BG,MBLS,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
RO,MBLS,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
RO,STE,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
GR,MED,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
RO,CON,2488,Acipenser stellatus,2488,Acipenser stellatus,PRE,N,N,N,Y-HTL,Fish
PT,ATL,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
BG,MBLS,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
GR,MMED,1101,Acipenser sturio,1101,Acipenser sturio,PRE,Y,Y,Y,N,Fish
NL,MATL,1101,Acipenser sturio,1101,Acipenser sturio,OCC,Y,Y,Y,N,Fish
DE,ATL,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
UK,MATL,1101,Acipenser sturio,1101,Acipenser sturio,OCC,Y,Y,Y,N,Fish
GR,MED,1101,Acipenser sturio,1101,Acipenser sturio,PRE,Y,Y,Y,N,Fish
PT,MED,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
ES,MED,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
FR,MATL,1101,Acipenser sturio,1101,Acipenser sturio,PRE,Y,Y,Y,N,Fish
BG,CON,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
DE,CON,1101,Acipenser sturio,1101,Acipenser sturio,EXp,Y,Y,Y,N,Fish
FR,ATL,1101,Acipenser sturio,1101,Acipenser sturio,PRE,Y,Y,Y,N,Fish
FR,MED,6176,Acis nicaeensis,6176,Acis nicaeensis,PRE,N,Y-CTC,Y-CTC,N,Vascular plants
IT,MED,6176,Acis nicaeensis,6176,Acis nicaeensis,PRE,N,Y-CTC,Y-CTC,N,Vascular plants
FR,MED,1475,Aconitum corsicum,1475,Aconitum corsicum,PRE,Y,Y,Y,N,Vascular plants
CZ,CON,4109,Aconitum firmum subsp. moravicum,4109,Aconitum firmum subsp. moravicum,PRE,N,Y,Y,N,Vascular plants
SK,ALP,4109,Aconitum firmum subsp. moravicum,4109,Aconitum firmum subsp. moravicum,PRE,N,Y,Y,N,Vascular plants
PL,ALP,4109,Aconitum firmum subsp. moravicum,4109,Aconitum firmum subsp. moravicum,PRE,N,Y,Y,N,Vascular plants
AT,ALP,4068,Adenophora lilifolia,4068,Adenophora lilifolia,MAR,N,Y,Y,N,Vascular plants
CZ,CON,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
HU,PAN,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
SI,CON,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
RO,CON,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
AT,CON,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
HR,ALP,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
DE,CON,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
IT,ALP,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
SI,ALP,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
SK,PAN,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
IT,CON,4068,Adenophora lilifolia,4068,Adenophora lilifolia,MAR,N,Y,Y,N,Vascular plants
PL,CON,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
RO,ALP,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
SK,ALP,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
RO,PAN,4068,Adenophora lilifolia,4068,Adenophora lilifolia,PRE,N,Y,Y,N,Vascular plants
IT,CON,1479,Adonis distorta,1479,Adonis distorta,PRE,N,Y,Y,N,Vascular plants
IT,ALP,1479,Adonis distorta,1479,Adonis distorta,PRE,N,Y,Y,N,Vascular plants
IT,MED,1479,Adonis distorta,1479,Adonis distorta,PRE,N,Y,Y,N,Vascular plants
ES,MAC,1517,Aeonium gomerense,1517,Aeonium gomerense,PRE,N,Y,Y,N,Vascular plants
ES,MAC,1518,Aeonium saundersii,1518,Aeonium saundersii,PRE,N,Y,Y,N,Vascular plants
DK,ATL,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
SE,CON,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
EE,BOR,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
LV,BOR,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
NL,ATL,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
HR,CON,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
DE,ATL,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
FI,BOR,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
HU,PAN,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
DE,CON,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
SE,BOR,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
DK,CON,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
LT,BOR,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
PL,CON,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
AT,CON,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
SI,CON,1048,Aeshna viridis,1048,Aeshna viridis,PRE,N,N,Y,N,Arthropods
FI,BOR,1919,Agathidium pulchellum,1919,Agathidium pulchellum,PRE,N,Y,N,N,Arthropods
SE,BOR,1919,Agathidium pulchellum,1919,Agathidium pulchellum,PRE,N,Y,N,N,Arthropods
FI,ALP,1930,Agriades glandon aquilo,1930,Agriades glandon aquilo,PRE,N,Y,N,N,Arthropods
SE,ALP,1930,Agriades glandon aquilo,1930,Agriades glandon aquilo,PRE,N,Y,N,N,Arthropods
LV,BOR,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
PL,CON,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
FI,BOR,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
PL,ALP,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
EE,BOR,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
RO,ALP,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
LT,BOR,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
RO,CON,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
RO,STE,1939,Agrimonia pilosa,1939,Agrimonia pilosa,PRE,N,Y,Y,N,Vascular plants
PT,MAC,1519,Aichryson dumosum,1519,Aichryson dumosum,PRE,N,Y,Y,N,Vascular plants
SI,CON,1120,Alburnus albidus,1120,Alburnus albidus,TAX,N,Y,N,N,Fish
HR,MED,1120,Alburnus albidus,1120,Alburnus albidus,TAX,N,Y,N,N,Fish
IT,MED,1120,Alburnus albidus,1120,Alburnus albidus,PRE,N,Y,N,N,Fish
BG,BLS,5288,Alburnus mandrensis,5288,Alburnus mandrensis,PRE,N,Y-CTC,N,N,Fish
BG,CON,5288,Alburnus mandrensis,5288,Alburnus mandrensis,PRE,N,Y-CTC,N,N,Fish
DE,CON,5289,Alburnus mento,5289,Alburnus mento,PRE,N,Y-CTC,N,N,Fish
AT,ALP,5289,Alburnus mento,5289,Alburnus mento,PRE,N,Y-CTC,N,N,Fish
AT,CON,5289,Alburnus mento,5289,Alburnus mento,MAR,N,Y-CTC,N,N,Fish
HR,CON,5291,Alburnus sarmaticus,5291,Alburnus sarmaticus,PRE,N,Y-CTC,N,N,Fish
BG,CON,5291,Alburnus sarmaticus,5291,Alburnus sarmaticus,PRE,N,Y-CTC,N,N,Fish
HR,ALP,5291,Alburnus sarmaticus,5291,Alburnus sarmaticus,PRE,N,Y-CTC,N,N,Fish
SI,CON,5291,Alburnus sarmaticus,5291,Alburnus sarmaticus,PRE,N,Y-CTC,N,N,Fish
BG,BLS,5290,Alburnus schischkovi,5290,Alburnus schischkovi,PRE,N,Y-CTC,N,N,Fish
BG,CON,5290,Alburnus schischkovi,5290,Alburnus schischkovi,PRE,N,Y-CTC,N,N,Fish
GR,MED,5269,Alburnus vistonicus,5269,Alburnus vistonicus,PRE,N,Y-CTC,N,N,Fish
GR,MED,5268,Alburnus volviticus,5268,Alburnus volviticus,PRE,N,Y-CTC,N,N,Fish
DE,CON,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,EXa,N,Y,Y,N,Vascular plants
BG,CON,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,PRE,N,Y,Y,N,Vascular plants
IT,MED,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,EXp,N,Y,Y,N,Vascular plants
RO,STE,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,PRE,N,Y,Y,N,Vascular plants
SK,PAN,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,EXp,N,Y,Y,N,Vascular plants
PL,CON,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,PRE,N,Y,Y,N,Vascular plants
LT,BOR,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,PRE,N,Y,Y,N,Vascular plants
RO,PAN,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,PRE,N,Y,Y,N,Vascular plants
HU,PAN,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,PRE,N,Y,Y,N,Vascular plants
RO,CON,1516,Aldrovanda vesiculosa,1516,Aldrovanda vesiculosa,PRE,N,Y,Y,N,Vascular plants
FR,MED,1240,Algyroides fitzingeri,1240,Algyroides fitzingeri,PRE,N,N,Y,N,Reptiles
IT,MED,1240,Algyroides fitzingeri,1240,Algyroides fitzingeri,PRE,N,N,Y,N,Reptiles
ES,MED,1264,Algyroides marchi,1264,Algyroides marchi,PRE,N,N,Y,N,Reptiles
GR,MED,1258,Algyroides moreoticus,1258,Algyroides moreoticus,PRE,N,N,Y,N,Reptiles
SI,CON,1243,Algyroides nigropunctatus,1243,Algyroides nigropunctatus,PRE,N,N,Y,N,Reptiles
IT,CON,1243,Algyroides nigropunctatus,1243,Algyroides nigropunctatus,PRE,N,N,Y,N,Reptiles
HR,MED,1243,Algyroides nigropunctatus,1243,Algyroides nigropunctatus,PRE,N,N,Y,N,Reptiles
HR,ALP,1243,Algyroides nigropunctatus,1243,Algyroides nigropunctatus,OCC,N,N,Y,N,Reptiles
GR,MED,1243,Algyroides nigropunctatus,1243,Algyroides nigropunctatus,PRE,N,N,Y,N,Reptiles
SE,BOR,1940,Alisma wahlenbergii,1940,Alisma wahlenbergii,PRE,Y,Y,Y,N,Vascular plants
FI,BOR,1940,Alisma wahlenbergii,1940,Alisma wahlenbergii,PRE,Y,Y,Y,N,Vascular plants
ES,MED,1847,Allium grosii,1847,Allium grosii,PRE,N,Y,Y,N,Vascular plants
FI,ALP,1911,Alopex lagopus,1911,Alopex lagopus,EXa,Y,Y,Y,N,Mammals
SE,ALP,1911,Alopex lagopus,1911,Alopex lagopus,PRE,Y,Y,Y,N,Mammals
IT,CON,4124,Alosa agone,4124,Alosa agone,MAR,N,Y-HTL,N,Y-HTL,Fish
IT,MED,4124,Alosa agone,4124,Alosa agone,PRE,N,Y-HTL,N,Y-HTL,Fish
IT,ALP,4124,Alosa agone,4124,Alosa agone,PRE,N,Y-HTL,N,Y-HTL,Fish
IE,ATL,1102,Alosa alosa,1102,Alosa alosa,OCC,N,Y-HTL,N,Y-HTL,Fish
FR,ATL,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
DE,CON,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
DK,CON,1102,Alosa alosa,1102,Alosa alosa,OCC,N,Y-HTL,N,Y-HTL,Fish
PL,CON,1102,Alosa alosa,1102,Alosa alosa,EXp,N,Y-HTL,N,Y-HTL,Fish
UK,ATL,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
DK,ATL,1102,Alosa alosa,1102,Alosa alosa,OCC,N,Y-HTL,N,Y-HTL,Fish
FR,CON,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
ES,MED,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
IT,MED,1102,Alosa alosa,1102,Alosa alosa,EXp,N,Y-HTL,N,Y-HTL,Fish
PT,MED,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
DE,ATL,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
PT,ATL,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
ES,ATL,1102,Alosa alosa,1102,Alosa alosa,PRE,N,Y-HTL,N,Y-HTL,Fish
NL,ATL,1102,Alosa alosa,1102,Alosa alosa,OCC,N,Y-HTL,N,Y-HTL,Fish
IE,ATL,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
PT,MED,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
UK,ATL,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
PT,ATL,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
NL,ATL,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
ES,ATL,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
DE,CON,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
DK,ATL,1103,Alosa fallax,1103,Alosa fallax,OCC,N,Y-HTL,N,Y-HTL,Fish
IT,MED,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
FR,MED,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
BE,ATL,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
ES,MED,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
LV,BOR,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
GR,MED,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
DE,ATL,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
HR,MED,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
DK,CON,1103,Alosa fallax,1103,Alosa fallax,OCC,N,Y-HTL,N,Y-HTL,Fish
MT,MED,1103,Alosa fallax,1103,Alosa fallax,OCC,N,Y-HTL,N,Y-HTL,Fish
PL,CON,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
FR,ATL,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
IT,CON,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
LT,BOR,1103,Alosa fallax,1103,Alosa fallax,PRE,N,Y-HTL,N,Y-HTL,Fish
RO,MBLS,4125,Alosa immaculata,4125,Alosa immaculata,PRE,N,Y-HTL,N,Y-HTL,Fish
RO,STE,4125,Alosa immaculata,4125,Alosa immaculata,PRE,N,Y-HTL,N,Y-HTL,Fish
RO,CON,4125,Alosa immaculata,4125,Alosa immaculata,PRE,N,Y-HTL,N,Y-HTL,Fish
RO,BLS,4125,Alosa immaculata,4125,Alosa immaculata,PRE,N,Y-HTL,N,Y-HTL,Fish
BG,BLS,4125,Alosa immaculata,4125,Alosa immaculata,PRE,N,Y-HTL,N,Y-HTL,Fish
BG,CON,4125,Alosa immaculata,4125,Alosa immaculata,PRE,N,Y-HTL,N,Y-HTL,Fish
IE,ATL,5046,Alosa killarnensis,5046,Alosa killarnensis,PRE,N,Y-HTL,N,Y-HTL,Fish
GR,MED,2490,Alosa macedonica,2490,Alosa macedonica,PRE,N,Y-HTL,N,Y-HTL,Fish
RO,STE,4127,Alosa tanaica,4127,Alosa tanaica,PRE,N,Y-HTL,N,Y-HTL,Fish
RO,MBLS,4127,Alosa tanaica,4127,Alosa tanaica,PRE,N,Y-HTL,N,Y-HTL,Fish
BG,CON,4127,Alosa tanaica,4127,Alosa tanaica,PRE,N,Y-HTL,N,Y-HTL,Fish
BG,BLS,4127,Alosa tanaica,4127,Alosa tanaica,PRE,N,Y-HTL,N,Y-HTL,Fish
RO,BLS,4127,Alosa tanaica,4127,Alosa tanaica,PRE,N,Y-HTL,N,Y-HTL,Fish
RO,CON,4127,Alosa tanaica,4127,Alosa tanaica,PRE,N,Y-HTL,N,Y-HTL,Fish
GR,MED,5048,Alosa vistonica,5048,Alosa vistonica,PRE,N,Y-HTL,N,Y-HTL,Fish
PT,MED,1509,Alyssum pintodasilvae,1509,Alyssum pintodasilvae,PRE,N,N,N,Y,Vascular plants
PT,MED,1192,Alytes cisternasii,1192,Alytes cisternasii,PRE,N,N,Y,N,Amphibians
ES,MED,1192,Alytes cisternasii,1192,Alytes cisternasii,PRE,N,N,Y,N,Amphibians
ES,MED,1187,Alytes muletensis,1187,Alytes muletensis,PRE,Y,Y,Y,N,Amphibians
LU,CON,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
BE,CON,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
FR,ALP,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
DE,CON,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
PT,MED,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
PT,ATL,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
DE,ATL,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
NL,ATL,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
FR,MED,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
FR,CON,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
ES,MED,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
BE,ATL,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
ES,ALP,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
FR,ATL,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
ES,ATL,1191,Alytes obstetricans,1191,Alytes obstetricans,PRE,N,N,Y,N,Amphibians
PT,MAC,1615,Ammi trifoliatum,1615,Ammi trifoliatum,PRE,N,Y,Y,N,Vascular plants
MT,MED,4102,Anacamptis urvilleana,4102,Anacamptis urvilleana,PRE,N,Y,Y,N,Vascular plants
ES,MED,1133,Anaecypris hispanica,1133,Anaecypris hispanica,PRE,N,Y,Y,N,Fish
PT,MED,1133,Anaecypris hispanica,1133,Anaecypris hispanica,PRE,N,Y,Y,N,Fish
ES,MAC,1559,Anagyris latifolia,1559,Anagyris latifolia,PRE,Y,Y,Y,N,Vascular plants
PT,MED,1724,Anarrhinum longipedicellatum,1724,Anarrhinum longipedicellatum,PRE,N,N,N,Y,Vascular plants
GR,MED,5373,Anatololacerta anatolica,5373,Anatololacerta anatolica,PRE,N,N,Y-CTC,N,Reptiles
GR,MED,5372,Anatololacerta oertzeni,5372,Anatololacerta oertzeni,PRE,N,N,Y-CTC,N,Reptiles
IT,MED,1674,Anchusa crispa,1674,Anchusa crispa,PRE,Y,Y,Y,N,Vascular plants
FR,MED,1674,Anchusa crispa,1674,Anchusa crispa,PRE,Y,Y,Y,N,Vascular plants
ES,MED,1844,Androcymbium europaeum,1844,Androcymbium europaeum,PRE,N,N,Y,N,Vascular plants
ES,MAC,1855,Androcymbium psammophilum,1855,Androcymbium psammophilum,PRE,Y,Y,Y,N,Vascular plants
GR,MED,1842,Androcymbium rechingeri,1842,Androcymbium rechingeri,PRE,Y,Y,Y,N,Vascular plants
ES,ALP,1631,Androsace cylindrica,1631,Androsace cylindrica,PRE,N,N,Y,N,Vascular plants
FR,ALP,1631,Androsace cylindrica,1631,Androsace cylindrica,PRE,N,N,Y,N,Vascular plants
ES,MED,1631,Androsace cylindrica,1631,Androsace cylindrica,PRE,N,N,Y,N,Vascular plants
IT,ALP,1630,Androsace mathildae,1630,Androsace mathildae,PRE,N,Y,Y,N,Vascular plants
ES,ALP,1632,Androsace pyrenaica,1632,Androsace pyrenaica,PRE,N,Y,Y,N,Vascular plants
FR,ALP,1632,Androsace pyrenaica,1632,Androsace pyrenaica,PRE,N,Y,Y,N,Vascular plants
PT,MAC,1807,Andryala crithmifolia,1807,Andryala crithmifolia,PRE,N,Y,Y,N,Vascular plants
FR,ATL,1607,Angelica heterocarpa,1607,Angelica heterocarpa,PRE,Y,Y,Y,N,Vascular plants
RO,ALP,1617,Angelica palustris,1617,Angelica palustris,PRE,N,Y,Y,N,Vascular plants
EE,BOR,1617,Angelica palustris,1617,Angelica palustris,PRE,N,Y,Y,N,Vascular plants
