code,label
SCR,Scientific reserve
ARR,Newly arriving species
DEL,Not present - delete from the check-list
EXa,Species extinct after entry into force of the Habitats Directive
EXp,Species extinct prior to entry into force of the Habitats Directive
MAR,Marginal
NPRE,Not present - reserve
NTAX,Taxonomical error
OCC,Occasional
OPT,Optional report
PRE,Present regularly
TAX,Taxonomical uncertainty
