code,label
A+,favourable but unfavourable in 2000 - 2006 period
A=,favourable or unknown in 2000 - 2006 and favourable in 2013 - 2018 period
B1,improved status (change in conservation status category)
B2,improved status (improving trend)
C,deteriorated status
D,unfavourable and unknown assessments that did not change
E,status became unknown
