code,label
ALP,Alpine
ATL,Atlantic
BLS,Black Sea
BOR,Boreal
CON,Continental
MAC,Macaronesian
MATL,Marine Atlantic
MBAL,Marine Baltic
MBLS,Marine Black Sea
MED,Mediterranean
MMAC,Marine Macaronesian
MMED,Marine Mediterranean
PAN,Pannonian
STE,Steppic
